id,video_file,task,frame,scene,action,prompt,action_review,note
76,076_unitree_g1dex1_conveyor_sorting_ep1048.mp4,Conveyor sorting,076_unitree_g1dex1_conveyor_sorting_ep1048_frame112_720p.jpg,"A conveyor belt with a green surface runs horizontally across the left side of a metal grid table. On the table, there are several snack bags in red, green, and pink, and a variety of bottles, including a yellow one and a black one with a red cap. The robot's arms are positioned near the table and conveyor belt, with one arm holding a gripper above the black bottle. The surface of the conveyor and table is smooth and dry.",The robot picks up the bottle from the table and places it on the conveyor belt.,"Scene: A conveyor belt with a green surface runs horizontally across the left side of a metal grid table. On the table, there are several snack bags in red, green, and pink, and a variety of bottles, including a yellow one and a black one with a red cap. The robot's arms are positioned near the table and conveyor belt, with one arm holding a gripper above the black bottle. The surface of the conveyor and table is smooth and dry.
Action: The robot picks up the bottle from the table and places it on the conveyor belt.",,
77,077_humanoid_everyday_use_soft_sponge_wipe_dry_surface_ep8634.mp4,Tool_use/use_a_soft_sponge_to_wipe_off_a_dry_surface,077_humanoid_everyday_use_soft_sponge_wipe_dry_surface_ep8634_frame0_720p.jpg,"A blue sponge is positioned on a white tabletop. The table is dry and has a smooth surface. Two robot arms are in front of the sponge, approximately shoulder-width apart, poised to perform an action. The sponge is soft and absorbent, suitable for wiping.",The robot picks up the sponge and wipes it across the tabletop.,"Scene: A blue sponge is positioned on a white tabletop. The table is dry and has a smooth surface. Two robot arms are in front of the sponge, approximately shoulder-width apart, poised to perform an action. The sponge is soft and absorbent, suitable for wiping.
Action: The robot picks up the sponge and wipes it across the tabletop.",,
78,078_humanoid_everyday_wipe_a_table_with_an_eraser_ep8914.mp4,Tool_use/wipe_a_table_with_an_eraser,078_humanoid_everyday_wipe_a_table_with_an_eraser_ep8914_frame0_720p.jpg,"A white table occupies the central area, with a green eraser placed near the middle. The eraser is rectangular, compact, and seems to be made of a rubbery material. To the left of the eraser is a shiny, transparent surface, likely a plastic sheet affixed to the table. A robotic arm, metallic with black and white segments, is positioned close to the table near the eraser. The table surface appears smooth and dry.",The robot wipes the eraser across the plastic sheet on the table.,"Scene: A white table occupies the central area, with a green eraser placed near the middle. The eraser is rectangular, compact, and seems to be made of a rubbery material. To the left of the eraser is a shiny, transparent surface, likely a plastic sheet affixed to the table. A robotic arm, metallic with black and white segments, is positioned close to the table near the eraser. The table surface appears smooth and dry.
Action: The robot wipes the eraser across the plastic sheet on the table.",,
79,079_humanoid_everyday_clean_the_window_ep7001.mp4,Locomanip/clean_the_window,079_humanoid_everyday_clean_the_window_ep7001_frame105_720p.jpg,"A robot is positioned near a large vertical window, which appears transparent and smooth. The robot's arm extends toward the window, holding a gray, textured duster that is fluffy and likely absorbent. The duster is roughly the size of a forearm and attached to a dark plastic handle. The setting includes a tiled floor beneath the window. The window surface is dry and smooth, essential for the task at hand.",The robot wipes the duster across the window surface.,"Scene: A robot is positioned near a large vertical window, which appears transparent and smooth. The robot's arm extends toward the window, holding a gray, textured duster that is fluffy and likely absorbent. The duster is roughly the size of a forearm and attached to a dark plastic handle. The setting includes a tiled floor beneath the window. The window surface is dry and smooth, essential for the task at hand.
Action: The robot wipes the duster across the window surface.",,
80,080_unitree_g1dex1_erase_board_ep0.mp4,Clean the blackboard with the eraser.,080_unitree_g1dex1_erase_board_ep0_frame0_720p.jpg,"A rectangular wooden table holds a white dry-erase board in its center. The board has red and green marker scribbles on it. Nearby, to the right of the board, a small blue eraser is placed. The robot has two metallic arms: the left arm is positioned slightly toward the board and the right arm is close to the blue eraser. The dry-erase board has a smooth, dry surface, and the eraser appears to be textured and suitable for wiping.",The robot grasps the eraser with its right hand and wipes it across the board.,"Scene: A rectangular wooden table holds a white dry-erase board in its center. The board has red and green marker scribbles on it. Nearby, to the right of the board, a small blue eraser is placed. The robot has two metallic arms: the left arm is positioned slightly toward the board and the right arm is close to the blue eraser. The dry-erase board has a smooth, dry surface, and the eraser appears to be textured and suitable for wiping.
Action: The robot grasps the eraser with its right hand and wipes it across the board.",,
81,081_unitree_g1dex1_erase_board_ep199.mp4,Clean the blackboard with the eraser.,081_unitree_g1dex1_erase_board_ep199_frame0_720p.jpg,"A robot is positioned in front of a whiteboard, which is attached to a beige tabletop. The whiteboard is approximately 30 inches wide and 20 inches tall, with red and blue markings on its smooth surface. Sitting on the table to the right of the whiteboard is a blue eraser, about 4 inches long. The robot's right arm is extended towards the eraser, while the left arm is positioned next to the left edge of the whiteboard. The whiteboard has a dry surface suitable for erasing.",The robot moves its right arm to grasp the blue eraser and wipes it across the surface of the whiteboard.,"Scene: A robot is positioned in front of a whiteboard, which is attached to a beige tabletop. The whiteboard is approximately 30 inches wide and 20 inches tall, with red and blue markings on its smooth surface. Sitting on the table to the right of the whiteboard is a blue eraser, about 4 inches long. The robot's right arm is extended towards the eraser, while the left arm is positioned next to the left edge of the whiteboard. The whiteboard has a dry surface suitable for erasing.
Action: The robot moves its right arm to grasp the blue eraser and wipes it across the surface of the whiteboard.",,
82,082_galbot_g1_clear_table_residue_1_ep0.mp4,"Sweep shrimp from table into container with towel, then put container into takeout bag.",082_galbot_g1_clear_table_residue_1_ep0_frame0_720p.jpg,"On a wooden table, a pile of cooked shrimp is situated on a gray mat. Next to the shrimp, there is a white, round plastic container. To the right of the shrimp, a brown towel lies flat, made of a textured and absorbent material. Nearby, a large, open takeout bag is set upright, displaying a red and white pattern. The robot's arms are positioned in front of the shrimp and towel, ready to initiate movement. The shrimp and table surface are dry, and the towel is textured and suitable for gathering small objects.","The robot uses the towel to sweep the shrimp into the container, then places the container into the takeout bag.","Scene: On a wooden table, a pile of cooked shrimp is situated on a gray mat. Next to the shrimp, there is a white, round plastic container. To the right of the shrimp, a brown towel lies flat, made of a textured and absorbent material. Nearby, a large, open takeout bag is set upright, displaying a red and white pattern. The robot's arms are positioned in front of the shrimp and towel, ready to initiate movement. The shrimp and table surface are dry, and the towel is textured and suitable for gathering small objects.
Action: The robot uses the towel to sweep the shrimp into the container, then places the container into the takeout bag.",,
83,083_galbot_g1_wipe_mirror_ep0.mp4,Pick up the towel from the sink counter and wipe the mirror surface.,083_galbot_g1_wipe_mirror_ep0_frame0_720p.jpg,"A bathroom features a large mirror mounted above a brown marble sink counter. The counter holds a white towel, a liquid soap dispenser, and a small potted plant. The towel is folded neatly on the right side of the sink. Two metallic robot arms are positioned in front of the counter, with the left arm located closer to the towel. The sink is empty and the mirror surface is clear and reflective.",The robot picks up the towel and moves it to wipe across the mirror surface.,"Scene: A bathroom features a large mirror mounted above a brown marble sink counter. The counter holds a white towel, a liquid soap dispenser, and a small potted plant. The towel is folded neatly on the right side of the sink. Two metallic robot arms are positioned in front of the counter, with the left arm located closer to the towel. The sink is empty and the mirror surface is clear and reflective.
Action: The robot picks up the towel and moves it to wipe across the mirror surface.",,
84,084_agibot_task421_wipe_stain_ep0.mp4,Pick up the item to wipe away the stain,084_agibot_task421_wipe_stain_ep0_frame0_720p.jpg,"A rectangular table with a light wood surface hosts several items. A turquoise cloth lies flat on the right side, next to a dark-colored robotic arm. In the center, there is a transparent glass containing a red liquid. A small stain is visible on the table surface in front of the glass. Another robotic arm is positioned close to these objects. The cloth looks textured and absorbent, and the table has a smooth surface.",The robot picks up the cloth and moves it across the table surface.,"Scene: A rectangular table with a light wood surface hosts several items. A turquoise cloth lies flat on the right side, next to a dark-colored robotic arm. In the center, there is a transparent glass containing a red liquid. A small stain is visible on the table surface in front of the glass. Another robotic arm is positioned close to these objects. The cloth looks textured and absorbent, and the table has a smooth surface.
Action: The robot picks up the cloth and moves it across the table surface.",,
85,085_agibot_task421_wipe_stain_ep950.mp4,Pick up the item to wipe away the stain,085_agibot_task421_wipe_stain_ep950_frame0_720p.jpg,"The scene features a round, white table with a small, brown, ceramic vase positioned at the top center. In the middle of the table, there is a transparent pink glass. Just below this, a small patch of liquid is visible on the table's surface. To the right of the glass, a folded yellow cloth lies on the table, appearing textured and absorbent. Two robotic arms are present, one on each side of the table. The left arm is positioned near the vase, and the right arm is closer to the cloth. The table surface looks smooth and free of texture, with a visible wet area near the glass.",The robot reaches for the yellow cloth and wipes it across the liquid on the table surface.,"Scene: The scene features a round, white table with a small, brown, ceramic vase positioned at the top center. In the middle of the table, there is a transparent pink glass. Just below this, a small patch of liquid is visible on the table's surface. To the right of the glass, a folded yellow cloth lies on the table, appearing textured and absorbent. Two robotic arms are present, one on each side of the table. The left arm is positioned near the vase, and the right arm is closer to the cloth. The table surface looks smooth and free of texture, with a visible wet area near the glass.
Action: The robot reaches for the yellow cloth and wipes it across the liquid on the table surface.",,
86,086_aloha_static_ziploc_slide_ep0.mp4,Slide open the ziploc bag.,086_aloha_static_ziploc_slide_ep0_frame0_720p.jpg,"A clear plastic ziploc bag with white and blue edges is situated at the center of a smooth, dark surface. The bag contains small, indistinct objects and is slightly opened at the top. Two robotic arms are positioned at either side of the bag, each with white exteriors and black gripping surfaces. The bag's material is flexible and smooth, allowing for easy manipulation.",The robot slides its fingers along the top edges of the ziploc bag to open it.,"Scene: A clear plastic ziploc bag with white and blue edges is situated at the center of a smooth, dark surface. The bag contains small, indistinct objects and is slightly opened at the top. Two robotic arms are positioned at either side of the bag, each with white exteriors and black gripping surfaces. The bag's material is flexible and smooth, allowing for easy manipulation.
Action: The robot slides its fingers along the top edges of the ziploc bag to open it.",,
87,087_unitree_g1dex3_toasted_bread_ep0.mp4,Place the bread into the toaster; hand the toast to the human.,087_unitree_g1dex3_toasted_bread_ep0_frame0_720p.jpg,A white toaster with two slots is on a table. To the right of the toaster is a blue plate holding a slice of bread. The robot has two mechanical arms; one arm is positioned above the bread while the other is near the toaster. The table surface is smooth and dry.,The robot lifts the bread and places it into the toaster slot.,"Scene: A white toaster with two slots is on a table. To the right of the toaster is a blue plate holding a slice of bread. The robot has two mechanical arms; one arm is positioned above the bread while the other is near the toaster. The table surface is smooth and dry.
Action: The robot lifts the bread and places it into the toaster slot.",,
88,088_unitree_g1dex3_toasted_bread_ep208.mp4,Place the bread into the toaster; hand the toast to the human.,088_unitree_g1dex3_toasted_bread_ep208_frame0_720p.jpg,"A white toaster is positioned on a table, with two slots visible on its top. A slice of bread can be seen partially inserted into one of the slots, with a red glow indicating the toaster is on. To the right of the toaster is a blue tray, approximately the size of a piece of letter paper. The robot has two metallic arms; the left arm is near the left side of the toaster, and the right arm is near the right side. The surface of the table is smooth and dry.",The robot lifts the bread from the toaster and moves it over to the tray.,"Scene: A white toaster is positioned on a table, with two slots visible on its top. A slice of bread can be seen partially inserted into one of the slots, with a red glow indicating the toaster is on. To the right of the toaster is a blue tray, approximately the size of a piece of letter paper. The robot has two metallic arms; the left arm is near the left side of the toaster, and the right arm is near the right side. The surface of the table is smooth and dry.
Action: The robot lifts the bread from the toaster and moves it over to the tray.",,
89,089_unitree_g1dex3_toasted_bread_ep417.mp4,Place the bread into the toaster; hand the toast to the human.,089_unitree_g1dex3_toasted_bread_ep417_frame0_720p.jpg,"A white toaster with two slots is sitting on a light-colored tabletop. To the right, there is a single piece of white bread resting on a rectangular blue tray. The tray is positioned with its longer side parallel to the toaster. The robot has two arms with black and silver components, both positioned near the bread, with one arm slightly closer to it. The surface of the table is dry and smooth, while the bread's surface appears textured and porous.","The robot reaches toward the bread, grasps it, and moves it over the toaster slots.","Scene: A white toaster with two slots is sitting on a light-colored tabletop. To the right, there is a single piece of white bread resting on a rectangular blue tray. The tray is positioned with its longer side parallel to the toaster. The robot has two arms with black and silver components, both positioned near the bread, with one arm slightly closer to it. The surface of the table is dry and smooth, while the bread's surface appears textured and porous.
Action: The robot reaches toward the bread, grasps it, and moves it over the toaster slots.",,
90,090_unitree_z1_dual_pour_coffee_ep0.mp4,"Operate the coffee machine: insert capsule, brew, place glass cup on tray.",,,,,,no frame provided
91,091_unitree_z1_dual_pour_coffee_ep330.mp4,"Operate the coffee machine: insert capsule, brew, place glass cup on tray.",091_unitree_z1_dual_pour_coffee_ep330_frame0_720p.jpg,"A wooden table holds a white coffee machine on the right. A gray tray sits to the left with a few droplets on its surface, and a transparent glass cup is near the center. A black robotic arm is positioned to the left of the cup, while another black arm is on the right. The glass cup is empty and dry, and the surface of the machine appears smooth and clean.",The robot inserts a coffee capsule into the machine.,"Scene: A wooden table holds a white coffee machine on the right. A gray tray sits to the left with a few droplets on its surface, and a transparent glass cup is near the center. A black robotic arm is positioned to the left of the cup, while another black arm is on the right. The glass cup is empty and dry, and the surface of the machine appears smooth and clean.
Action: The robot inserts a coffee capsule into the machine.",,
93,093_humanoid_everyday_press_start_boiling_button_ep8078.mp4,Precision/press_start_boiling_button,093_humanoid_everyday_press_start_boiling_button_ep8078_frame0_720p.jpg,"A black electric kettle sits on a white table, approximately half a meter tall and made of smooth plastic. It is positioned in the center of the table, with its handle facing towards the right. A transparent plastic sheet lies on the table beside the kettle, slightly overlapping its base. Two robotic arms are visible in the foreground, with their fingers open and positioned below the table's edge. The kettle surface is smooth and dry, while the plastic sheet is smooth and slightly reflective.",The robot moves its right arm forward to press the button on the electric kettle.,"Scene: A black electric kettle sits on a white table, approximately half a meter tall and made of smooth plastic. It is positioned in the center of the table, with its handle facing towards the right. A transparent plastic sheet lies on the table beside the kettle, slightly overlapping its base. Two robotic arms are visible in the foreground, with their fingers open and positioned below the table's edge. The kettle surface is smooth and dry, while the plastic sheet is smooth and slightly reflective.
Action: The robot moves its right arm forward to press the button on the electric kettle.",,
94,094_humanoid_everyday_pick_up_kettle_place_base_turn_ep7022.mp4,Locomanip/pick_up_a_kettle_place_it_on_base_and_turn_on,094_humanoid_everyday_pick_up_kettle_place_base_turn_ep7022_frame154_720p.jpg,"A black electric kettle is positioned on a smooth, white countertop. The kettle is medium-sized and cylindrical, with a handle on one side. A robot arm is located near the kettle, with its gripper aligned with the handle. The kitchen setting includes a light wooden cabinet beneath the countertop. The kettle's surface is shiny and dry.","The robot picks up the kettle, places it on a base, and flips the switch.","Scene: A black electric kettle is positioned on a smooth, white countertop. The kettle is medium-sized and cylindrical, with a handle on one side. A robot arm is located near the kettle, with its gripper aligned with the handle. The kitchen setting includes a light wooden cabinet beneath the countertop. The kettle's surface is shiny and dry.
Action: The robot picks up the kettle, places it on a base, and flips the switch.",,
95,095_galbot_g1_scrub_toilet_ep0.mp4,"Open the toilet lid, clean the bowl with a brush, close the lid, and flush.",095_galbot_g1_scrub_toilet_ep0_frame0_720p.jpg,"A white toilet with a closed lid is positioned against a light beige tile wall. To the left of the toilet is a shower enclosure with a glass door. On the floor next to the toilet, there is a red toilet brush with a black handle. Two robotic arms, metallic gray in color, extend towards the toilet from the perspective of the viewer. The surface of the toilet lid is smooth and dry.",The robot lifts the toilet lid using one of its arms.,"Scene: A white toilet with a closed lid is positioned against a light beige tile wall. To the left of the toilet is a shower enclosure with a glass door. On the floor next to the toilet, there is a red toilet brush with a black handle. Two robotic arms, metallic gray in color, extend towards the toilet from the perspective of the viewer. The surface of the toilet lid is smooth and dry.
Action: The robot lifts the toilet lid using one of its arms.",,
96,096_galbot_g1_scrub_toilet_ep186.mp4,"Open the toilet lid, clean the bowl with a brush, close the lid, and flush.",096_galbot_g1_scrub_toilet_ep186_frame0_720p.jpg,"A white toilet with a closed lid is centered against a tiled wall. A shower is on the left side, with a glass enclosure. The floor is tiled in beige, and a white toilet brush is lying on the tiles to the left of the toilet's base. A small control panel is attached to the left side of the toilet. The robot's arms, equipped with black and gray grippers, are positioned in front of the toilet, one on each side. The toilet lid is smooth and dry, suitable for manipulation.",The robot lifts the toilet lid with one of its arms.,"Scene: A white toilet with a closed lid is centered against a tiled wall. A shower is on the left side, with a glass enclosure. The floor is tiled in beige, and a white toilet brush is lying on the tiles to the left of the toilet's base. A small control panel is attached to the left side of the toilet. The robot's arms, equipped with black and gray grippers, are positioned in front of the toilet, one on each side. The toilet lid is smooth and dry, suitable for manipulation.
Action: The robot lifts the toilet lid with one of its arms.",,
97,097_aloha_mobile_shrimp_ep0.mp4,"Saute the raw shrimp on both sides, then serve it in the bowl.",097_aloha_mobile_shrimp_ep0_frame55_720p.jpg,"A metallic stovetop with a black frying pan sits on top of a stainless steel oven. To the right of the stove, a clear glass container partly filled with yellow oil is next to an orange bowl containing raw shrimp. A black robotic arm is positioned above the countertop, near the pan. The stovetop surface is smooth and the oil appears viscous.",The robot grasps the shrimp with its gripper and places them into the pan.,"Scene: A metallic stovetop with a black frying pan sits on top of a stainless steel oven. To the right of the stove, a clear glass container partly filled with yellow oil is next to an orange bowl containing raw shrimp. A black robotic arm is positioned above the countertop, near the pan. The stovetop surface is smooth and the oil appears viscous.
Action: The robot grasps the shrimp with its gripper and places them into the pan.",,
98,098_aloha_static_coffee_ep0.mp4,"Place the coffee capsule, then push the Hot Water and Travel Mug buttons.",098_aloha_static_coffee_ep0_frame0_720p.jpg,"A silver coffee machine sits centrally on a smooth black surface. In front of the machine, a small coffee capsule, beige in color, lies to the left. To the right of the machine, there is a transparent plastic cup. Two robotic arms are positioned on opposite sides, each with a three-finger gripper. The robot's left arm is near the coffee capsule, and the right arm is close to the cup. The surface appears dry and stable.","The robot picks up the coffee capsule with its left arm, places it into the machine, and then pushes both the Hot Water and Travel Mug buttons.","Scene: A silver coffee machine sits centrally on a smooth black surface. In front of the machine, a small coffee capsule, beige in color, lies to the left. To the right of the machine, there is a transparent plastic cup. Two robotic arms are positioned on opposite sides, each with a three-finger gripper. The robot's left arm is near the coffee capsule, and the right arm is close to the cup. The surface appears dry and stable.
Action: The robot picks up the coffee capsule with its left arm, places it into the machine, and then pushes both the Hot Water and Travel Mug buttons.",,
